effective_date,index_type,inclusions,exclusions,symbols
2015-03-27,Nifty50,"IDEA,YESBANK","DLF,JINDALSTEL","AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDEA,IDFC,IDFCFIRSTB,INDUSINDBK,INFY,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NMDC,NTPC,ONGC,PNB,POWERGRID,SESA,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,TECHM,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL"
2015-05-29,Nifty50,BOSCH-HCIL,IDFCFIRSTB,"AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BOSCH-HCIL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDEA,IDFC,INDUSINDBK,INFY,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NMDC,NTPC,ONGC,PNB,POWERGRID,SESA,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,TECHM,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL"
2015-09-28,Nifty50,ADANIPORTS,NMDC,"AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BOSCH-HCIL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDEA,IDFC,INDUSINDBK,INFY,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,PNB,POWERGRID,SESA,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,TECHM,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL"
2016-04-01,Nifty50,"EICHERMOT,INDUSTOWER,AUROPHARMA,TMCV","PNB,VEDL,CAIRN","AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDEA,IDFC,INDUSINDBK,INDUSTOWER,INFY,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TATAPOWER,TCS,TECHM,TMCV,ULTRACEMCO,WIPRO,YESBANK,ZEEL"
2017-03-31,Nifty50,"IBULHSGFIN,IOC","BHEL,IDEA","AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IBULHSGFIN,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TATAPOWER,TCS,TECHM,TMCV,ULTRACEMCO,WIPRO,YESBANK,ZEEL"
2017-05-26,Nifty50,VEDL,GRASIM,"AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HEROMOTOCO,IBULHSGFIN,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TATAPOWER,TCS,TECHM,TMCV,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL"
2017-09-29,Nifty50,"UPL,BAJFINANCE,HINDPETRO","TATAPOWER,BANKBARODA,ACCELYA,TMCV","AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BHARTI,BHARTIARTL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HEROMOTOCO,HINDPETRO,IBULHSGFIN,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TCS,TECHM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL"
2018-04-02,Nifty50,"BAJAJFINSV,GRASIM,TITAN","AMBUJACEM,AUROPHARMA,BOSCH-HCIL","AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,HINDPETRO,IBULHSGFIN,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL"
2018-09-28,Nifty50,JSWSTEEL,LUPIN,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,HINDPETRO,IBULHSGFIN,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL"
2019-03-29,Nifty50,BRITANNIA,HINDPETRO,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IBULHSGFIN,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL"
2019-09-27,Nifty50,NESTLEIND,IBULHSGFIN,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL"
2020-03-19,Nifty50,SHREECEM,YESBANK,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SESA,SHREECEM,SUNPHARMA,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,ZEEL"
2020-07-31,Nifty50,HDFCLIFE,VEDL,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCLIFE,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SESA,SHREECEM,SUNPHARMA,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO,ZEEL"
2020-09-30,Nifty50,"SBILIFE,DIVISLAB","ZEEL,BHARTI","AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCLIFE,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SBILIFE,SHREECEM,SUNPHARMA,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO"
2021-03-31,Nifty50,TATACONSUM,GAIL,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCLIFE,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SBILIFE,SHREECEM,SUNPHARMA,TATACONSUM,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO"
2022-03-31,Nifty50,APOLLOHOSP,IOC,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,APOLLOHOSP,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCLIFE,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SBILIFE,SHREECEM,SUNPHARMA,TATACONSUM,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO"
2022-09-30,Nifty50,ADANIENT,SHREECEM,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIENT,ADANIPORTS,AKZOINDIA,APOLLOHOSP,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCLIFE,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SBILIFE,SUNPHARMA,TATACONSUM,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO"
2023-07-31,Nifty50,LTIMINDT,HDFCLIFE,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIENT,ADANIPORTS,AKZOINDIA,APOLLOHOSP,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,JSWSTEEL,KOTAKBANK,LT,LTIMINDT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SBILIFE,SUNPHARMA,TATACONSUM,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO"
2024-03-31,Nifty50,SHRIRAMFIN,UPL,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIENT,ADANIPORTS,AKZOINDIA,APOLLOHOSP,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,JSWSTEEL,KOTAKBANK,LT,LTIMINDT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SBILIFE,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TCS,TECHM,TITAN,ULTRACEMCO,WIPRO"
2024-09-30,Nifty50,"TRENT,BEL","LTIMINDT,DIVISLAB","AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIENT,ADANIPORTS,AKZOINDIA,APOLLOHOSP,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SBILIFE,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO"
2025-03-31,Nifty50,"ZOMATO,JIOFINAN","IGPL,BRITANNIA","AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIENT,ADANIPORTS,AKZOINDIA,APOLLOHOSP,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,JIOFINAN,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SBILIFE,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO"
2025-09-30,Nifty50,"INDIGO,HEALTHCARE","INDUSINDBK,HEROMOTOCO","AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIENT,ADANIPORTS,AKZOINDIA,APOLLOHOSP,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HEALTHCARE,IDFC,INDIGO,INDUSTOWER,INFY,JIOFINAN,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SBILIFE,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO"
